"TRIAL_NAME","LOCATION_NAME","SITE_LAT","SITE_LONG"
"S18_2_ZW_SCL5","Banket_SCL",-17.6425,30.4
"S18_2_ZW_SCL11","Bindura_SCL",-17.54583,31.55833
"S18_2_ZW_CBI4","Chisumbanje_CBI",-20.47,32.14
"S18_2_ZW_SCL7","Goromonzi_SCL",-17.65012,31.23562
"S18_2_ZW_CBI1","Harare_CBI",-17.48,31.03
"S18_2_ZW_SCL6","Harare_SCL",-17.71667,31.08333
"S18_2_ZW_CBI2","Kadoma_CBI",-18.19,29.52
"S18_2_ZW_SCL10","Mutare_SCL",-18.89406,32.60589
"S18_2_ZW_CBI9","Shamva_CBI",-17.16,31.37
"S18_2_ZW_SCL8","Stapleford_SCL",-17.73333,30.88333
"S19_1_ZW_CBI2","Chisumbanje_CBI",-21.05306,32.23472
"S19_1_ZW_CBI4","Shamva_CBI",-17.06917,31.1108
"S19_2_ZW_SCL6","Mutare_SCL",-18.89372,32.6024
"S20_2_ZW_SCL11","Bindura_SCL",-17.54583,31.55833
"S20_2_ZW_SCL7","Goromonzi_SCL",-17.66194,31.23562
"S20_2_ZW_CBI2","Gwebi_CBI",-17.68333,30.55015
"S20_2_ZW_CBI1","Harare_CBI",-17.80908,31.05556
"S20_2_ZW_SCL8","Harare_SCL",-17.8275,31.05333
"S20_2_ZW_SCL12","Mutare_SCL",-18.8968,32.6013
"S20_2_ZW_SCL9","Stapleford_SCL",-17.73306,30.88333
"S21_2_ZW_CBI1","Harare_CBI",-17.26,30.54
"S21_2_ZW_KKR1","Harare_KKR",-17.70097,31.06182
"S21_2_ZW_CBI3","Kadoma_CBI",-18.33,29.88
"S22_2_ZW_SCL3","Goromonzi_SCL",-17.66,31.24
"S22_2_ZW_CBI1","Harare_CBI",-17.809,31.053
"S22_2_ZW_TCK1","Mazowe_TCK",-17.69,30.95
"S22_2_ZW_CBI3","Shamva_CBI",-17.166,31.37
"S22_2_ZW_SCL4","Stapleford_SCL",-17.73,30.88
"S23_2_ZW_SCL1","Goromonzi_SCL",-18.08333,31.25611
"S23_2_ZW_TCK1","Mthampden_TCK",-17.6868,30.9663
"S23_2_ZW_SCL2","Stapleford_SCL",-17.66194,31.23562
